"module name","licenses"
"@babel/code-frame@7.24.7","MIT"
"@babel/generator@7.25.6","MIT"
"@babel/helper-annotate-as-pure@7.24.7","MIT"
"@babel/helper-module-imports@7.24.7","MIT"
"@babel/helper-string-parser@7.24.8","MIT"
"@babel/helper-validator-identifier@7.24.7","MIT"
"@babel/highlight@7.24.7","MIT"
"@babel/parser@7.25.6","MIT"
"@babel/template@7.25.0","MIT"
"@babel/traverse@7.25.6","MIT"
"@babel/types@7.25.6","MIT"
"@csstools/cascade-layer-name-parser@2.0.1","MIT"
"@csstools/color-helpers@5.0.1","MIT-0"
"@csstools/convert-colors@1.4.0","CC0-1.0"
"@csstools/css-calc@2.0.1","MIT"
"@csstools/css-color-parser@3.0.2","MIT"
"@csstools/css-parser-algorithms@3.0.1","MIT"
"@csstools/css-tokenizer@3.0.1","MIT"
"@csstools/media-query-list-parser@3.0.1","MIT"
"@csstools/postcss-cascade-layers@5.0.0","MIT-0"
"@csstools/postcss-color-function@4.0.2","MIT-0"
"@csstools/postcss-color-mix-function@3.0.2","MIT-0"
"@csstools/postcss-content-alt-text@2.0.1","MIT-0"
"@csstools/postcss-exponential-functions@2.0.1","MIT-0"
"@csstools/postcss-font-format-keywords@4.0.0","MIT-0"
"@csstools/postcss-gamut-mapping@2.0.2","MIT-0"
"@csstools/postcss-gradients-interpolation-method@5.0.2","MIT-0"
"@csstools/postcss-hwb-function@4.0.2","MIT-0"
"@csstools/postcss-ic-unit@4.0.0","MIT-0"
"@csstools/postcss-initial@2.0.0","MIT-0"
"@csstools/postcss-is-pseudo-class@5.0.0","MIT-0"
"@csstools/postcss-light-dark-function@2.0.2","MIT-0"
"@csstools/postcss-logical-float-and-clear@3.0.0","MIT-0"
"@csstools/postcss-logical-overflow@2.0.0","MIT-0"
"@csstools/postcss-logical-overscroll-behavior@2.0.0","MIT-0"
"@csstools/postcss-logical-resize@3.0.0","MIT-0"
"@csstools/postcss-logical-viewport-units@3.0.1","MIT-0"
"@csstools/postcss-media-minmax@2.0.1","MIT"
"@csstools/postcss-media-queries-aspect-ratio-number-values@3.0.1","MIT-0"
"@csstools/postcss-nested-calc@4.0.0","MIT-0"
"@csstools/postcss-normalize-display-values@4.0.0","MIT-0"
"@csstools/postcss-oklab-function@4.0.2","MIT-0"
"@csstools/postcss-progressive-custom-properties@4.0.0","MIT-0"
"@csstools/postcss-relative-color-syntax@3.0.2","MIT-0"
"@csstools/postcss-scope-pseudo-class@4.0.0","MIT-0"
"@csstools/postcss-stepped-value-functions@4.0.1","MIT-0"
"@csstools/postcss-text-decoration-shorthand@4.0.1","MIT-0"
"@csstools/postcss-trigonometric-functions@4.0.1","MIT-0"
"@csstools/postcss-unset-value@4.0.0","MIT-0"
"@csstools/sass-import-resolve@1.0.0","CC0-1.0"
"@csstools/selector-resolve-nested@2.0.0","MIT-0"
"@csstools/selector-specificity@4.0.0","MIT-0"
"@csstools/utilities@2.0.0","MIT-0"
"@emotion/is-prop-valid@0.8.8","MIT"
"@emotion/memoize@0.7.4","MIT"
"@emotion/stylis@0.8.5","MIT"
"@emotion/unitless@0.7.5","MIT"
"@esbuild/linux-x64@0.23.1","MIT"
"@jridgewell/gen-mapping@0.3.5","MIT"
"@jridgewell/resolve-uri@3.1.2","MIT"
"@jridgewell/set-array@1.2.1","MIT"
"@jridgewell/sourcemap-codec@1.5.0","MIT"
"@jridgewell/trace-mapping@0.3.25","MIT"
"@ory/themes@0.0.100","Apache*"
"@storybook/core@8.3.1","MIT"
"@storybook/csf@0.1.11","MIT"
"@storybook/types@8.3.1","MIT"
"@types/body-parser@1.19.2","MIT"
"@types/connect@3.4.35","MIT"
"@types/express-serve-static-core@4.19.5","MIT"
"@types/express@4.17.21","MIT"
"@types/mime@1.3.2","MIT"
"@types/node@14.18.21","MIT"
"@types/qs@6.9.7","MIT"
"@types/range-parser@1.2.7","MIT"
"@types/send@0.17.4","MIT"
"@types/serve-static@1.13.10","MIT"
"accepts@1.3.8","MIT"
"ansi-regex@2.1.1","MIT"
"ansi-styles@2.2.1","MIT"
"ansi-styles@3.2.1","MIT"
"array-flatten@1.1.1","MIT"
"ast-types@0.16.1","MIT"
"autoprefixer@10.4.20","MIT"
"autoprefixer@9.8.8","MIT"
"available-typed-arrays@1.0.7","MIT"
"babel-plugin-styled-components@2.0.7","MIT"
"babel-plugin-syntax-jsx@6.18.0","MIT"
"balanced-match@1.0.2","MIT"
"better-opn@3.0.2","MIT"
"body-parser@1.20.3","MIT"
"browser-assert@1.2.1","MIT*"
"browserslist@4.23.3","MIT"
"bytes@3.1.2","MIT"
"call-bind@1.0.7","MIT"
"camelize@1.0.0","MIT"
"caniuse-lite@1.0.30001660","CC-BY-4.0"
"chalk@1.1.3","MIT"
"chalk@2.4.2","MIT"
"classnames@2.3.1","MIT"
"color-convert@1.9.3","MIT"
"color-name@1.1.3","MIT"
"content-disposition@0.5.4","MIT"
"content-type@1.0.5","MIT"
"cookie-signature@1.0.6","MIT"
"cookie@0.6.0","MIT"
"css-blank-pseudo@0.1.4","CC0-1.0"
"css-blank-pseudo@7.0.0","MIT-0"
"css-color-keywords@1.0.0","ISC"
"css-has-pseudo@0.10.0","CC0-1.0"
"css-has-pseudo@7.0.0","MIT-0"
"css-prefers-color-scheme@10.0.0","MIT-0"
"css-prefers-color-scheme@3.1.1","CC0-1.0"
"css-to-react-native@3.0.0","MIT"
"cssdb@4.4.0","CC0-1.0"
"cssdb@8.1.1","MIT-0"
"cssesc@2.0.0","MIT"
"cssesc@3.0.0","MIT"
"debug@2.6.9","MIT"
"debug@4.3.4","MIT"
"define-data-property@1.1.4","MIT"
"define-lazy-prop@2.0.0","MIT"
"depd@2.0.0","MIT"
"destroy@1.2.0","MIT"
"ee-first@1.1.1","MIT"
"electron-to-chromium@1.5.24","ISC"
"encodeurl@1.0.2","MIT"
"encodeurl@2.0.0","MIT"
"es-define-property@1.0.0","MIT"
"es-errors@1.3.0","MIT"
"esbuild-register@3.6.0","MIT"
"esbuild@0.23.1","MIT"
"escalade@3.2.0","MIT"
"escape-html@1.0.3","MIT"
"escape-string-regexp@1.0.5","MIT"
"esprima@4.0.1","BSD-2-Clause"
"etag@1.8.1","MIT"
"express@4.21.0","MIT"
"finalhandler@1.3.1","MIT"
"flatten@1.0.3","MIT"
"for-each@0.3.3","MIT"
"forwarded@0.2.0","MIT"
"fraction.js@4.3.7","MIT"
"fresh@0.5.2","MIT"
"function-bind@1.1.2","MIT"
"get-intrinsic@1.2.4","MIT"
"globals@11.12.0","MIT"
"gopd@1.0.1","MIT"
"has-ansi@2.0.0","MIT"
"has-flag@1.0.0","MIT"
"has-flag@3.0.0","MIT"
